maxeduc,valorjornal,fam_electricidad,fam_letrinas,riskmax,loutput,lseeds,lland,llabour,lfertilizer,lpesticide,ageold60,nooutinc,diste1,footaccess,caraccess,fullten,dum01,dum02,dum03,dum04,Participation
12,4,0.61224,0.4449,0.24881438289512,7.70300768247924,4.8283137373023,1.6094379124341,4.59511985013459,5.73334127689775,5.8406416573734,0,1,3.49754595686272,0,1,0,0,0,0,1,1
11,5,0.473134,0.49801,0.0152169540477273,7.15461535691366,4.02535169073515,0.405465108108164,4.17438726989564,5.01727983681492,4.91265488573605,0,1,3.28187905686036,0,1,1,0,0,1,0,1
10,4,0.6886,0.53947,0.163875039592634,5.48063892334199,3.61765194482557,0,3.43398720448515,4.33073334028633,4.18965474202643,0,1,3.35388594909658,0,1,1,0,0,1,0,1
14,3.5,0.9625,0.9875,6.31359896988394,6.43292401543952,4.24849524204936,0.916290731874155,4.04305126783455,4.75359019110636,3.39114704580865,0,0,3.7502390564961,1,0,1,0,0,0,1,1
9,4,1,1,0.826898063360482,6.30627528694802,3.63758615972639,0.693147180559945,3.17805383034795,4.86753445045558,3.3322045101752,1,1,3.79438907893906,1,0,1,0,0,0,1,1
3,5,0.6,0.4,0.163875039592634,6.37672694789863,3.13549421592915,0.693147180559945,3.8286413964891,6.42971947803914,4.77068462446567,0,1,3.29035894071585,0,1,0,0,0,1,0,1
11,4.5,0.6,0.4,1.05181732310114,4.969813299576,1.50407739677627,-0.693147180559945,2.484906649788,4.0943445622221,3.09104245335832,0,1,3.29035894071585,0,1,1,0,0,1,0,1
6,4,0.7,0.75,1.05181732310114,5.61677109766657,3.2188758248682,0,3.04452243772342,4.75359019110636,3.52636052461616,0,1,3.85877927032499,1,0,1,0,0,1,0,1
11,0,0.90741,0.86111,0.0752819026829323,7.36518012602101,4.51305489708029,1.38629436111989,4.71849887129509,5.56068163101553,4.83628190695148,0,0,3.8900602271742,1,0,1,0,0,0,1,1
12,3,0.61224,0.4449,0.163875039592634,6.07534603108868,3.05400118167797,0.693147180559945,3.87120101090789,4.23410650459726,3.58351893845611,0,0,3.49754595686272,1,0,1,0,0,0,1,1
12,4,1,1,0.163875039592634,5.76832099579377,3.52636052461616,0,3.55534806148941,4.4188406077966,3.64414356027254,0,1,3.79438907893906,0,1,1,0,0,0,1,1
6,4,0.93168,0.96273,0.163875039592634,6.25382881157547,4.86753445045558,1.38629436111989,3.98898404656427,6.07534603108868,5.4971682252932,0,1,3.88130675977025,0,1,1,0,0,0,1,1
11,3,0.93023,1,0.484672153307257,7.32118855673948,4.66532410880784,1.70474809223843,4.56434819146784,5.45958551414416,4.67282883446191,0,0,3.84595740966773,0,1,1,0,0,1,0,1
10,4,0.6886,0.53947,0.163875039592634,7.27170370688737,4.0943445622221,0.693147180559945,3.25809653802148,4.95582705760126,4.49980967033027,0,1,3.35388594909658,1,0,1,0,0,1,0,1
11,5,0.95276,0.6063,0.24881438289512,6.99942246750796,3.71357206670431,0.22314355131421,4.0943445622221,4.80811102998478,4.47676847118357,0,1,3.9178540561253,0,1,0,0,0,1,0,1
12,4,0.9625,0.9875,1.05181732310114,5.10594547390058,2.52572864430826,-0.693147180559945,3.66356164612965,4.38202663467388,2.77258872223978,0,0,3.7502390564961,1,0,0,0,0,0,1,1
12,4,0.93168,0.96273,0.0152169540477273,7.29097477814298,4.44265125649032,1.09861228866811,4.39444915467244,5.55295958492162,5.63835466933375,0,1,3.80526914233753,1,0,1,0,0,0,1,1
6,3,1,1,1.05181732310114,6.08677472691231,3.68887945411394,0,3.29583686600433,4.57471097850338,3.2188758248682,1,0,3.79438907893906,0,1,1,0,0,0,1,1
10,4,0.89286,0.95238,0.113056802971772,7.65893549079269,4.30406509320417,1.25276296849537,4.92725368515721,5.77455154554441,5.30330490805908,0,0,3.90461455999724,1,0,1,0,0,1,0,1
9,4,0.61224,0.4449,1.05181732310114,5.98141421125448,3.17805383034795,0,3.49650756146648,4.89783979995091,4.69134788222914,1,1,3.49754595686272,0,1,1,0,0,0,1,1
6,4,0.93168,0.96273,0.163875039592634,7.03702761468628,4.23410650459726,0.693147180559945,4.21950770517611,5.04985600724954,5.28826703069454,0,1,3.80526914233753,1,0,1,0,0,0,1,1
